Sense_current,Battery_current,Current_ratio,Battery_impedance,Rectified_Impedance
(830.6196899414062-24.281145095825195j),(327.671630859375-94.57032012939453j),(2.359741130691051+0.6069500998134296j),(0.16439085127296427-0.12656663140822383j),(0.09384960410601353-0.002190614464793393j)
(823.0687866210938-36.601661682128906j),(332.0841979980469-83.38736724853516j),(2.357522093069503+0.4817630584462016j),(0.18413850952659333-0.10096194676176484j),(0.09163474284460774-0.0010587491929718105j)
(823.0253295898438-46.81439208984375j),(334.0356140136719-70.23015594482422j),(2.3878003572408426+0.3618811716266279j),(0.19646663835684947-0.07781908534110453j),(0.09303539316951738-0.0017161328839992872j)
(822.068115234375-51.58692932128906j),(335.800048828125-65.6993637084961j),(2.3867810576825326+0.31335036384643805j),(0.2035252300264912-0.05819672225097551j),(0.09126442786910947-0.0013675532364102393j)
(820.2631225585938-55.09590530395508j),(339.6851501464844-58.0996208190918j),(2.373093079437668+0.24369597182592953j),(0.20704185841264583-0.04232780056921328j),(0.09230041118667962-0.0005944260760743642j)
(819.0995483398438-57.440406799316406j),(337.61572265625-55.09943389892578j),(2.390232830957999+0.2199544158928446j),(0.20829137763396702-0.029985544858057784j),(0.09381862241434044-0.001139039382480592j)
(817.6981811523438-60.56031799316406j),(340.8799743652344-50.43999481201172j),(2.3731147652090563+0.1734909143971135j),(0.20816058484211727-0.020723439244313618j),(0.09251834919848703-0.000834331935667896j)
(818.9402465820312-65.14290618896484j),(341.31231689453125-46.77564239501953j),(2.380827381052296+0.13542383823696358j),(0.2072392047955176-0.014019058402469349j),(0.08958154861485361-0.001153291841762402j)
(819.9467163085938-65.31253051757812j),(339.80645751953125-45.99412155151367j),(2.3951171098865567+0.1319832980574729j),(0.20590525024003273-0.009353525849102j),(0.09030064760696391-0.0015870644727190172j)
(817.5731811523438-67.45710754394531j),(342.4531555175781-42.5340690612793j),(2.375225707365365+0.09803065379415345j),(0.20439328545691404-0.006251338253466986j),(0.0927109716752909-0.0015707895395443235j)
(817.3544921875-57.892723083496094j),(346.57916259765625-39.03480911254883j),(2.3473850146806625+0.09734284838522296j),(0.2028441250651768-0.004297294443694508j),(0.09030307737122606-0.001288682707823225j)
